DateNum,Date,YearMonthNum,Calendar_Quarter,MonthNum,MonthName,MonthShortName,WeekNum,DayNumOfYear,DayNumOfMonth,DayNumOfWeek,DayName,DayShortName,Quarter,YearQuarterNum,DayNumOfQuarter
20200101,1-1-2020,202001,Qtr 1,1,January,Jan,1,1,1,4,Wednesday,Wed,1,20201,1
20200102,1-2-2020,202001,Qtr 1,1,January,Jan,1,2,2,5,Thursday,Thu,1,20201,2
20200103,1-3-2020,202001,Qtr 1,1,January,Jan,1,3,3,6,Friday,Fri,1,20201,3
20200104,1-4-2020,202001,Qtr 1,1,January,Jan,1,4,4,7,Saturday,Sat,1,20201,4
20200105,1-5-2020,202001,Qtr 1,1,January,Jan,1,5,5,1,Sunday,Sun,1,20201,5
20200106,1-6-2020,202001,Qtr 1,1,January,Jan,2,6,6,2,Monday,Mon,1,20201,6
20200107,1-7-2020,202001,Qtr 1,1,January,Jan,2,7,7,3,Tuesday,Tue,1,20201,7
20200108,1-8-2020,202001,Qtr 1,1,January,Jan,2,8,8,4,Wednesday,Wed,1,20201,8
20200109,1-9-2020,202001,Qtr 1,1,January,Jan,2,9,9,5,Thursday,Thu,1,20201,9
20200110,1-10-2020,202001,Qtr 1,1,January,Jan,2,10,10,6,Friday,Fri,1,20201,10
20200111,1-11-2020,202001,Qtr 1,1,January,Jan,2,11,11,7,Saturday,Sat,1,20201,11
20200112,1-12-2020,202001,Qtr 1,1,January,Jan,2,12,12,1,Sunday,Sun,1,20201,12
20200113,1-13-2020,202001,Qtr 1,1,January,Jan,3,13,13,2,Monday,Mon,1,20201,13
20200114,1-14-2020,202001,Qtr 1,1,January,Jan,3,14,14,3,Tuesday,Tue,1,20201,14
20200115,1-15-2020,202001,Qtr 1,1,January,Jan,3,15,15,4,Wednesday,Wed,1,20201,15
20200116,1-16-2020,202001,Qtr 1,1,January,Jan,3,16,16,5,Thursday,Thu,1,20201,16
20200117,1-17-2020,202001,Qtr 1,1,January,Jan,3,17,17,6,Friday,Fri,1,20201,17
20200118,1-18-2020,202001,Qtr 1,1,January,Jan,3,18,18,7,Saturday,Sat,1,20201,18
20200119,1-19-2020,202001,Qtr 1,1,January,Jan,3,19,19,1,Sunday,Sun,1,20201,19
20200120,1-20-2020,202001,Qtr 1,1,January,Jan,4,20,20,2,Monday,Mon,1,20201,20
20200121,1-21-2020,202001,Qtr 1,1,January,Jan,4,21,21,3,Tuesday,Tue,1,20201,21
20200122,1-22-2020,202001,Qtr 1,1,January,Jan,4,22,22,4,Wednesday,Wed,1,20201,22
20200123,1-23-2020,202001,Qtr 1,1,January,Jan,4,23,23,5,Thursday,Thu,1,20201,23
20200124,1-24-2020,202001,Qtr 1,1,January,Jan,4,24,24,6,Friday,Fri,1,20201,24
20200125,1-25-2020,202001,Qtr 1,1,January,Jan,4,25,25,7,Saturday,Sat,1,20201,25
20200126,1-26-2020,202001,Qtr 1,1,January,Jan,4,26,26,1,Sunday,Sun,1,20201,26
20200127,1-27-2020,202001,Qtr 1,1,January,Jan,5,27,27,2,Monday,Mon,1,20201,27
20200128,1-28-2020,202001,Qtr 1,1,January,Jan,5,28,28,3,Tuesday,Tue,1,20201,28
20200129,1-29-2020,202001,Qtr 1,1,January,Jan,5,29,29,4,Wednesday,Wed,1,20201,29
20200130,1-30-2020,202001,Qtr 1,1,January,Jan,5,30,30,5,Thursday,Thu,1,20201,30
20200131,1-31-2020,202001,Qtr 1,1,January,Jan,5,31,31,6,Friday,Fri,1,20201,31
20200201,2-1-2020,202002,Qtr 1,2,February,Feb,5,32,1,7,Saturday,Sat,1,20201,32
20200202,2-2-2020,202002,Qtr 1,2,February,Feb,5,33,2,1,Sunday,Sun,1,20201,33
20200203,2-3-2020,202002,Qtr 1,2,February,Feb,6,34,3,2,Monday,Mon,1,20201,34
20200204,2-4-2020,202002,Qtr 1,2,February,Feb,6,35,4,3,Tuesday,Tue,1,20201,35
20200205,2-5-2020,202002,Qtr 1,2,February,Feb,6,36,5,4,Wednesday,Wed,1,20201,36
20200206,2-6-2020,202002,Qtr 1,2,February,Feb,6,37,6,5,Thursday,Thu,1,20201,37
20200207,2-7-2020,202002,Qtr 1,2,February,Feb,6,38,7,6,Friday,Fri,1,20201,38
20200208,2-8-2020,202002,Qtr 1,2,February,Feb,6,39,8,7,Saturday,Sat,1,20201,39
20200209,2-9-2020,202002,Qtr 1,2,February,Feb,6,40,9,1,Sunday,Sun,1,20201,40
